ticker,bid,ask,last,open,high,low,volume
966,-1,-1,20.2,20.25,20.7,19.88,5361146
981,-1,-1,6.43,6.57,6.58,6.33,19588583
2688,-1,-1,68.65,68.5,70.5,68.5,1404474
669,-1,-1,41,42.7,42.7,39.9,2556765
2333,-1,-1,4.27,4.35,4.39,4.15,50552300
2238,-1,-1,7.45,7.72,7.74,7.41,17988825
135,-1,-1,8.08,8.01,8.22,8.01,11398750
291,-1,-1,24.7,26,26.25,24.5,9790033
3,-1,-1,16.18,16.26,16.26,16.04,12055554
3323,-1,-1,5.06,5.14,5.21,5.05,12952000
1171,-1,-1,6.04,6.06,6.21,6,9609588
1099,-1,-1,30.5,31.75,31.75,30.1,4730588
788,,,1.4,1.41,1.45,1.37,472971519
390,-1,-1,7.01,6.95,7.1,6.92,11074675
1193,-1,-1,30.2,30.5,31,30.05,2022420
522,-1,-1,72,75.35,75.35,71.55,1252328
6837,-1,-1,7.38,7.34,7.56,7.22,7308000
6,-1,-1,53.75,53.8,54,53.35,2377745
1313,-1,-1,6.78,6.95,7.08,6.75,10545552
1186,-1,-1,10.58,10.68,10.82,10.48,19235333
1910,-1,-1,21.6,22.05,22.35,21.45,2181700
902,-1,-1,4.8,4.87,4.87,4.74,17475900
1548,-1,-1,9.98,10.14,10.5,9.9,5937568
3888,-1,-1,11.36,11.32,11.54,11.1,10315135
763,-1,-1,13.92,14.28,14.68,13.7,12496732
1988,-1,-1,5.31,5.27,5.33,5.25,14837878
17,-1,-1,10.18,10.14,10.34,10.06,11073075
998,-1,-1,4.61,4.66,4.67,4.58,24904135
12,-1,-1,38.7,38.45,39,38.15,2664134
1766,-1,-1,7.62,7.54,7.7,7.53,30754626
813,-1,-1,19.32,19.18,19.6,18.5,5490000
3328,-1,-1,6,5.96,6,5.9,19358690
7200,-1,-1,8.01,8.05,8.14,7.91,10019400
1800,-1,-1,7.25,7.34,7.34,7.21,9886635
6823,-1,-1,11.32,11.28,11.36,11.22,5739698
1038,-1,-1,57.8,58.15,58.25,57.2,1944511
868,-1,-1,8.35,8.51,8.69,8.3,11412690
323,-1,-1,3.31,3.31,3.37,3.23,7192000
960,-1,-1,22.05,22.25,22.75,21.9,6572169
3808,-1,-1,10.62,11.08,11.32,10.6,5456924
612,-1,-1,21.75,21.5,21.9,21,4468000
66,-1,-1,40.9,40.5,40.95,40.3,1714593
270,-1,-1,14.96,14.98,15.14,14.8,3497097
347,-1,-1,5.21,5.11,5.23,5.05,5684000
2600,-1,-1,2.41,2.41,2.44,2.36,17128000
1530,-1,-1,8.4,8.99,9.23,8.21,17358212
2689,-1,-1,6.95,7.09,7.24,6.91,12299360
19,-1,-1,79.5,79.65,80.25,79,933269
1997,-1,-1,45.8,46,46.05,45.5,2238205
2338,-1,-1,8.52,8.77,8.77,8.49,10998000
880,-1,-1,6.96,7.08,7.18,6.91,7326956
753,-1,-1,6.37,6.69,6.69,6.3,15969665
6881,-1,-1,3.48,3.42,3.55,3.42,15468751
2883,-1,-1,6.33,6.42,6.54,6.23,7185603
241,-1,-1,6.05,6.2,6.27,6.02,8052097
1055,-1,-1,4.62,4.7,4.77,4.58,15050895
586,-1,-1,22.25,22.95,22.95,22.15,2605000
2196,-1,-1,20.4,21.2,21.2,19.78,8086500
257,-1,-1,6.93,6.87,6.93,6.8,12277182
1030,-1,-1,5.15,5.15,5.26,5.09,13426000
1958,-1,-1,4,4.03,4.12,3.92,7445500
836,-1,-1,14.94,14.74,15.06,14.68,8377783
1347,-1,-1,13.18,13.76,13.8,13.08,4376000
3993,-1,-1,2.78,2.78,2.84,2.74,11549000
1169,-1,-1,18.6,18.56,18.88,18.46,6389345
6098,-1,-1,11.86,11.94,12.06,11.78,2986866
267,-1,-1,12.14,11.84,12.18,11.84,15704783
1658,-1,-1,4.16,4.12,4.18,4.12,11433870
6886,-1,-1,12.3,12,12.72,12,4530600
817,-1,-1,3.37,3.37,3.44,3.33,18564281
656,-1,-1,10.62,10.9,10.92,10.4,12371657
322,-1,-1,9.99,10.28,10.3,9.9,4095830
1913,-1,-1,24.75,25.05,25.9,24.55,674064
6808,-1,-1,7.67,7.81,7.84,7.56,10610562
552,-1,-1,6.23,6.05,6.28,6.05,9717248
708,-1,-1,12.52,11.16,12.7,11.16,17649000
285,-1,-1,9.04,9.44,9.55,8.82,7266400
489,-1,-1,7.08,7.08,7.08,6.95,6073000
2331,-1,-1,8.28,8.32,8.42,8.22,4183397
884,-1,-1,3.91,3.91,3.97,3.81,21789000
2899,-1,-1,2.79,2.82,2.83,2.76,44139503
2282,-1,-1,12.4,12.94,12.98,12.38,7780992
3898,-1,-1,43.35,43.8,43.9,42.75,940314
200,-1,-1,15.5,15.2,15.88,15.2,2029121
6060,-1,-1,23.7,24.45,24.65,23.35,1534552
3908,-1,-1,14.52,14.36,14.62,14.26,4164000
151,-1,-1,5.53,5.2,5.53,5.2,20135096
3383,-1,-1,8.46,8.88,8.88,8.44,8642494
3311,-1,-1,6,6.03,6.23,5.96,7746501
425,-1,-1,24.1,24.85,24.85,23.95,3409500
2777,-1,-1,11.16,11.12,11.3,10.94,6815200
2799,-1,-1,1.38,1.39,1.41,1.36,39728200
392,-1,-1,39.2,40.55,40.55,39,2062665
1558,-1,-1,27.1,26.2,27.1,25.85,2819400
1813,-1,-1,6.46,6.63,6.75,6.4,10749554
570,-1,-1,4.34,4.4,4.52,4.29,8148000
874,-1,-1,26.1,27.25,27.45,26,1748057
1579,-1,-1,18.36,18.7,18.98,18.18,2155798
1787,-1,-1,20.45,19.38,20.5,19.38,2383750
607,-1,-1,1.4,1.66,1.67,1.33,63352500
916,-1,-1,5.14,5.23,5.34,5.12,10540000
1359,-1,-1,1.89,1.86,1.89,1.86,18571600
4,-1,-1,20,20,20.2,19.88,1537354
772,-1,-1,33.55,35.4,35.6,33.05,2174960
6862,-1,-1,17.12,17.6,17.6,17.02,695000
2888,-1,-1,59.25,59.2,59.55,58.55,416016
1772,-1,-1,12.12,12.04,12.34,12,379200
338,-1,-1,3.38,3.42,3.48,3.37,12024500
581,-1,-1,4.38,4.41,4.54,4.34,6278000
2357,-1,-1,4.82,4.72,4.93,4.72,18041124
101,-1,-1,14.54,14.5,14.84,14.5,2985550
881,-1,-1,15.06,15,15.26,14.9,1979500
1776,-1,-1,10.34,10.3,10.62,10.24,3222800
1378,-1,-1,4.16,4.28,4.28,4.1,7402000
354,-1,-1,3.59,3.79,3.79,3.49,30874000
3883,-1,-1,4.94,4.97,5.02,4.89,7618000
696,-1,-1,20.05,19.98,20.05,19.48,1770500
2186,-1,-1,5.01,5.25,5.27,4.9,12201500
371,-1,-1,3.83,3.9,3.93,3.79,17599623
83,-1,-1,13.74,13.32,13.78,13.3,6771378
683,-1,-1,27,26.55,27.95,26.55,1176742
839,-1,-1,9.04,9.29,9.4,9.01,2507000
1972,-1,-1,27.4,27.4,27.65,27.2,1124430
20,-1,-1,44.05,43.95,44.1,43.5,654388
2607,-1,-1,15.32,15.96,15.96,15.12,4419100
3900,-1,-1,5.59,5.59,5.76,5.5,1715500
867,-1,-1,6.57,6.85,6.93,6.5,7061000
148,-1,-1,20.55,20.75,20.8,20.25,1600500
1816,-1,-1,1.83,1.84,1.84,1.81,18542493
2588,-1,-1,56.75,56.6,58.4,56.4,580155
1112,-1,-1,40.7,42.3,42.85,38.8,4624929
6869,-1,-1,19.78,20.75,21.1,19.6,2416000
1717,-1,-1,8.04,8.42,8.42,8.02,1269468
1066,-1,-1,5.93,6.33,6.33,5.73,10220000
1357,-1,-1,2.33,2.36,2.41,2.26,34436500
1317,-1,-1,3.25,3.46,3.46,3.2,17460000
958,-1,-1,1.9,2.02,2.06,1.89,35700000
1208,-1,-1,3.07,3.2,3.22,3.03,6036713
144,-1,-1,14.26,14.16,14.28,13.92,3663142
189,-1,-1,3.99,4.01,4.07,3.95,2742000
670,-1,-1,4.19,4.3,4.33,4.13,10674843
3320,-1,-1,9.79,9.73,10.06,9.46,3704000
799,-1,-1,10.12,10.4,10.62,10.06,4666500
3337,-1,-1,0.77,0.76,0.79,0.74,14345741
345,-1,-1,28.6,28.8,29.2,28.6,4023792
3606,-1,-1,23.95,25.8,25.8,23.65,568400
694,-1,-1,8.1,8.14,8.16,8.03,4502403
494,-1,-1,1.24,1.22,1.26,1.22,23677490
1898,-1,-1,3.03,3.02,3.09,3.01,6720000
1929,-1,-1,6.29,6.42,6.45,6.29,2295394
358,-1,-1,9.02,9.14,9.14,8.93,4350000
1818,-1,-1,8.05,8.1,8.1,7.91,7034500
8,-1,-1,4.4,4.49,4.5,4.39,14025032
1060,-1,-1,1.27,1.26,1.3,1.25,29988906
1712,-1,-1,1.21,1.21,1.21,1.2,76000
7288,-1,-1,6.67,6.65,6.78,6.59,1436000
551,-1,-1,25.1,25.1,25.4,24.85,1587012
2869,-1,-1,5.83,5.83,6,5.71,5206000
1316,-1,-1,10.36,10.94,10.98,10.24,3095584
1728,-1,-1,4.09,4.25,4.3,4.05,2268000
