,Ticker,Exchange,Side,Share,AvePrice,time
0,6030,SEHK,BOT,2000.0,14.8,20181106  14:33:12
1,144,SEHK,BOT,2000.0,13.86,20181106  15:42:29
2,2778,SEHK,BOT,2000.0,5.37,20181106  15:42:29
3,6030,SEHK,BOT,2000.0,15.12,20181106  15:42:29
4,6030,SEHK,SLD,2000.0,15.1,20181106  19:40:58
5,AAPL,ISLAND,SLD,100.0,200.6,20181106  19:40:58
6,TSLA,ISLAND,BOT,100.0,339.48,20181106  19:40:59
7,GOOGL,ISLAND,BOT,100.0,1055.25,20181106  19:40:59
8,GOOGL,ISLAND,BOT,100.0,1055.25,20181106  19:41:08
9,AAPL,ISLAND,SLD,100.0,200.445,20181106  19:42:56
10,AAPL,ISLAND,SLD,100.0,200.393333,20181106  19:43:16
