,Ticker,Exchange,Side,Share,AvePrice,Time
0,AAPL,ISLAND,SLD,300.0,176.9,20181122  12:17:36
1,TSLA,ISLAND,SLD,200.0,338.15,20181122  12:17:36
2,TSLA,ISLAND,SLD,100.0,338.15,20181122  12:17:36
3,GOOGL,ISLAND,BOT,100.0,1045.99,20181122  12:17:36
4,GOOGL,ISLAND,BOT,100.0,1045.99,20181122  12:17:36
5,TSLA,ISLAND,SLD,200.0,338.15,20181122  12:30:16
6,TSLA,ISLAND,SLD,100.0,338.15,20181122  12:30:16
