,Ticker,Share,Exchange,PnL,Position,Cash Balance in USD
0,AAPL,-2400.0,NASDAQ,34373.42,Short,-1621924.30
1,AIG,100.0,NYSE,-863.0,Long,-1621924.30
2,AXP,100.0,NYSE,276.0,Long,-1621924.30
3,GOOGL,1900.0,NASDAQ,-31951.55,Long,-1621924.30
4,IBKR,700.0,IEX,1741.59,Long,-1621924.30
5,MMM,500.0,NYSE,-1400.6,Long,-1621924.30
6,TSLA,2600.0,NASDAQ,1570.78,Long,-1621924.30
