,Ticker,Share,Exchange,PnL,Position,Cash Balance in USD
0,AAPL,-3000.0,NASDAQ,62531.44,Short,-1416039.62
1,AIG,100.0,NYSE,-671.0,Long,-1416039.62
2,AXP,100.0,NYSE,148.0,Long,-1416039.62
3,GOOGL,2100.0,NASDAQ,-49166.0,Long,-1416039.62
4,IBKR,700.0,IEX,129.29,Long,-1416039.62
5,MMM,500.0,NYSE,-1025.6,Long,-1416039.62
6,TSLA,1700.0,NASDAQ,-8033.98,Long,-1416039.62
