,Ticker,Share,Exchange,PnL,Position,Cash Balance in USD
0,144,2000.0,SEHK,-117.34,Long,396438.83
1,2778,4000.0,SEHK,-119.8,Long,396438.83
2,6030,2500.0,SEHK,319.28,Long,396438.83
3,AAPL,600.0,NASDAQ,-11117.3,Long,396438.83
4,AIG,100.0,NYSE,-658.0,Long,396438.83
5,AXP,100.0,NYSE,19.4,Long,396438.83
6,GOOGL,300.0,NASDAQ,-8216.5,Long,396438.83
7,IBKR,700.0,IEX,2288.51,Long,396438.83
8,MMM,500.0,NYSE,-3815.6,Long,396438.83
9,TSLA,-100.0,NASDAQ,-6398.04,Short,396438.83
