,Ticker,Share,Exchange,PnL,Position,Cash Balance in USD
0,AAPL,-2700.0,NASDAQ,34370.41,Short,-1462789.94
1,AIG,100.0,NYSE,-863.0,Long,-1462789.94
2,AXP,100.0,NYSE,276.0,Long,-1462789.94
3,GOOGL,1900.0,NASDAQ,-31951.55,Long,-1462789.94
4,IBKR,700.0,IEX,1741.59,Long,-1462789.94
5,MMM,500.0,NYSE,-1400.6,Long,-1462789.94
6,TSLA,2300.0,NASDAQ,1389.53,Long,-1462789.94
