,Ticker,Share,Exchange,PnL,Position,Cash Balance in USD
0,AAPL,-2100.0,NASDAQ,26858.44,Short,-1678147.24
1,AIG,100.0,NYSE,-840.22,Long,-1678147.24
2,AXP,100.0,NYSE,287.0,Long,-1678147.24
3,GOOGL,1900.0,NASDAQ,-51198.56,Long,-1678147.24
4,IBKR,700.0,IEX,2683.24,Long,-1678147.24
5,MMM,500.0,NYSE,84.4,Long,-1678147.24
6,TSLA,2600.0,NASDAQ,-10857.22,Long,-1678147.24
