,Ticker,Share,Exchange,PnL,Position,Cash Balance in USD
0,144,2000.0,SEHK,-38.52,Long,-363872.83
1,2778,4000.0,SEHK,-140.31,Long,-363872.83
2,6030,500.0,SEHK,-81.85,Long,-363872.83
3,AAPL,-300.0,NASDAQ,-3.08,Short,-363872.83
4,AIG,100.0,NYSE,-567.0,Long,-363872.83
5,AXP,100.0,NYSE,21.0,Long,-363872.83
6,GOOGL,900.0,NASDAQ,-1278.01,Long,-363872.83
7,IBKR,700.0,IEX,2847.49,Long,-363872.83
8,MMM,500.0,NYSE,-2725.61,Long,-363872.83
9,TSLA,800.0,NASDAQ,486.25,Long,-363872.83
