,Ticker,Share,Exchange,PnL,Position,Cash Balance in USD
0,144,2000.0,SEHK,29.07,Long,-1683733.67
1,2778,4000.0,SEHK,-118.58,Long,-1683733.67
2,6030,500.0,SEHK,-71.85,Long,-1683733.67
3,AAPL,-2100.0,NASDAQ,-21.57,Short,-1683733.67
4,AIG,100.0,NYSE,-567.0,Long,-1683733.67
5,AXP,100.0,NYSE,21.0,Long,-1683733.67
6,GOOGL,1900.0,NASDAQ,-1285.52,Long,-1683733.67
7,IBKR,700.0,IEX,2847.46,Long,-1683733.67
8,MMM,500.0,NYSE,-2725.6,Long,-1683733.67
9,TSLA,2600.0,NASDAQ,-67.23,Long,-1683733.67
