,Ticker,Share,Exchange,PnL,Position,Cash Balance in USD
0,144,0.0,SEHK,0.0,Short,-1678147.29
1,2778,0.0,SEHK,0.0,Short,-1678147.29
2,6030,0.0,SEHK,0.0,Short,-1678147.29
3,AAPL,-2100.0,NASDAQ,20453.43,Short,-1678147.29
4,AIG,100.0,NYSE,-811.0,Long,-1678147.29
5,AXP,100.0,NYSE,150.0,Long,-1678147.29
6,GOOGL,1900.0,NASDAQ,-18176.55,Long,-1678147.29
7,IBKR,700.0,IEX,1940.89,Long,-1678147.29
8,MMM,500.0,NYSE,-1885.6,Long,-1678147.29
9,TSLA,2600.0,NASDAQ,-19957.22,Long,-1678147.29
